Created On,Latest Update,Title,Info,Card Log,Labels,List,URLs,Members
2019-04-27T05:32:40.043Z,2019-04-27T05:38:44.828Z,[Archived] test,,"### Archived by Kevin on 2019-04-27T05:38:44.840Z


### Added by Kevin on 2019-04-27T05:32:40.043Z",None,Feedback!,"Long: https://trello.com/c/82Tjevle/1-test
Short: https://trello.com/c/82Tjevle",None
2019-04-27T05:36:57.980Z,2019-06-17T22:03:52.142Z,No tooltips show when fullscreened on a stream,"**Short Description:** No tooltips show when fullscreened on a stream
**Steps to reproduce:**
1. Start watching someone's stream
2. Double click on them so you can see all the options
3. Then fullscreen by clicking the fullscreen button
4. Then hover over any button
5. Observe how there are no tooltips
**Expected Result:** Tooltips show
**Actual Result:** No tooltips show
**Client Settings:** Canary 36518
**System Settings:** Windows 10 Home x64 (1809)","### Moved from Claimed Fixed, Needs Verification to Verified Fixed by webhp on 2019-05-09T10:59:02.939Z


### CNR.
Windows 10 Home x64 - Canary 37253 - Ten on 2019-05-09T07:48:34.056Z


### Moved from Tested Bugs to Claimed Fixed, Needs Verification by Athena Yao on 2019-05-04T00:31:56.006Z


### Can reproduce
Windows 10 Home x64 (1809) - Canary 36526 - Solo on 2019-04-27T19:51:39.795Z


### Moved from Bug Reports from Testers! to Tested Bugs by webhp on 2019-04-27T19:51:28.995Z


### Can reproduce.
Windows 10 Home x64 v1809 - Discord Canary 36525 - Daffyduck on 2019-04-27T17:58:53.385Z


### Can Reproduce

MacBook Pro (13"", Mid-2012), macOS v10.14.4 (18E226) - Canary 36525 - Isabel Lomas on 2019-04-27T14:52:22.260Z


### 6iNvCPU.png - https://trello-attachments.s3.amazonaws.com/5cc0dbfc192f483330d269a7/5cc3ea79a725da7525241000/5a3414de2114d8d716fceb5518d6331a/6iNvCPU.png added by TheForbiddenAi on 2019-04-27T05:44:12.314Z


### Added by TheForbiddenAi on 2019-04-27T05:36:57.980Z",Investigating,Verified Fixed,"Long: https://trello.com/c/ZjBR8TWF/2-no-tooltips-show-when-fullscreened-on-a-stream
Short: https://trello.com/c/ZjBR8TWF",None
2019-04-27T05:39:53.041Z,2019-06-17T22:03:52.189Z,Hovering over the monitor icon with an x shows a tooltip saying stop streaming when viewing someone else's stream,"**Short Description:** Hovering over the monitor icon with an x shows a tooltip saying stop streaming when viewing someone else's stream
**Steps to reproduce:**
1. Double click on someone streaming
2. In the popup that appears hover over the monitor icon with an x button
3. Observe how it says stop streaming
**Expected Result:** It should say ""Stop Watching""
**Actual Result:** It says ""Stop Streaming""
**Client Settings:** Canary 36518
**System Settings:** Windows 10 Home x64 (1809)","### Moved from Claimed Fixed, Needs Verification to Verified Fixed by Ten on 2019-05-12T13:19:53.328Z


### CNR.
Windows 10 Home x64 - Canary 37458 - Ten on 2019-05-12T13:19:47.927Z


### Moved from Tested Bugs to Claimed Fixed, Needs Verification by Athena Yao on 2019-05-04T00:31:47.710Z


### Moved from Bug Reports from Testers! to Tested Bugs by webhp on 2019-04-27T19:52:12.806Z


### Can reproduce.
Windows 10 Home x64 v1809 - Discord Canary 36525 - Daffyduck on 2019-04-27T18:05:37.760Z


### Can Reproduce

MacBook Pro (13"", Mid-2012), macOS v10.14.4 (18E226) - Canary 36525 - Isabel Lomas on 2019-04-27T14:52:18.724Z


### 4cyd0Lh.png - https://trello-attachments.s3.amazonaws.com/5cc0dbfc192f483330d269a7/5cc3eb29e8a1298058a9a40c/400c4721057b68589691a9164132ba12/4cyd0Lh.png added by TheForbiddenAi on 2019-04-27T05:43:28.521Z


### Added by TheForbiddenAi on 2019-04-27T05:39:53.041Z",Investigating,Verified Fixed,"Long: https://trello.com/c/HAUqn5bU/3-hovering-over-the-monitor-icon-with-an-x-shows-a-tooltip-saying-stop-streaming-when-viewing-someone-elses-stream
Short: https://trello.com/c/HAUqn5bU",None
2019-04-27T05:41:19.410Z,2019-06-17T22:03:52.087Z,Stream popout player doesn't work,"**Short Description:** Stream popout player doesn't work
**Steps to Reproduce:**
1. Double click on someone streaming
2. In the popup that appears click the popout player button
3. Observe how there is no video and it just says [object Object]
**Expected Result:** There should be a video
**Actual Result:** There is no video and it just says [object Object]
**Client Settings:** Canary 36518
**System Settings:** Windows 10 Home x64 (1809)","### Moved from Claimed Fixed, Needs Verification to Confirmed Fixed by webhp on 2019-04-27T19:16:16.645Z


### CNR Canary 36526 -- Windows 10 Pro x64 v1809 Build 11875.1000 - webhp on 2019-04-27T19:16:08.202Z


### CNR

Windows 10 Home x64 v1809 - Discord Canary 36526 - Isabel Lomas on 2019-04-27T19:13:52.802Z


### image.png - undefined added by Isabel Lomas on 2019-04-27T19:13:17.204Z


### Could not reproduce,

Windows 10 Home x64 (1809), Canary 36526 - TheForbiddenAi on 2019-04-27T19:12:10.486Z


### Moved from Bug Reports from Testers! to Claimed Fixed, Needs Verification by TheForbiddenAi on 2019-04-27T19:11:33.523Z


### unknown.png - https://trello-attachments.s3.amazonaws.com/5cc0dbfc192f483330d269a7/5cc3eb7f1d792f6e0913fc4b/cb4b3dac6724c5149b711abb83d2e55d/unknown.png added by TheForbiddenAi on 2019-04-27T05:42:42.304Z


### Added by TheForbiddenAi on 2019-04-27T05:41:19.410Z",None,Verified Fixed,"Long: https://trello.com/c/yklTa0dJ/4-stream-popout-player-doesnt-work
Short: https://trello.com/c/yklTa0dJ",None
2019-04-27T05:55:14.993Z,2019-06-17T22:03:52.216Z,Quickly hovering between multiple people streaming causes cards to overlap temporarily,"**Short Description**: Quickly hovering between multiple people streaming causes cards to overlap temporarily
**Steps to Reproduce:**
1. Find a server where 2 or more people are streaming
2. Quickly hover between them
3. Observe how the cards overlap temporarily
**Expected Result:** The cards go away right after you stop hovering over them
**Actual Result:** Cards begin to overlap each other temporarily
**Client Settings:** Canary 36518
**System Settings:** Windows 10 Home x64 (1809)","### Moved from Claimed Fixed, Needs Verification to Verified Fixed by webhp on 2019-06-14T01:01:10.671Z


### CNR Canary 39690 -- Windows 10 Pro x64 v1903 18912.1001 - webhp on 2019-06-14T01:01:08.206Z


### Moved from Tested Bugs to Claimed Fixed, Needs Verification by Athena Yao on 2019-05-13T21:29:28.387Z


### Moved from Bug Reports from Testers! to Tested Bugs by webhp on 2019-05-09T11:01:57.026Z


### Can Reproduce

MacBook Pro (13"", Mid-2012), macOS v10.14.4 (18E226) - Canary 36525 - Isabel Lomas on 2019-04-27T21:01:35.865Z


### https://i.imgur.com/Xxp90sm.gifv - https://i.imgur.com/Xxp90sm.gifv added by TheForbiddenAi on 2019-04-27T05:57:01.807Z


### Added by TheForbiddenAi on 2019-04-27T05:55:14.993Z",None,Verified Fixed,"Long: https://trello.com/c/8DOosHms/5-quickly-hovering-between-multiple-people-streaming-causes-cards-to-overlap-temporarily
Short: https://trello.com/c/8DOosHms",None
2019-04-27T05:57:15.118Z,2019-06-17T22:02:04.255Z,Hovering over other streamers in a different VC with someone streaming a different game will show the streamer's game in current VC.,"Title: Hovering over other streamers in a different VC with someone streaming a different game will show the streamer's game in current VC.
STR:
- Join a VC with a streamer.
- Have another streamer in a different VC.
- Hover over the streamer in the different VC
- Boom
Expected Result: It would show the streamer's game rather than the one in the current VC
Actual Result: The preview shows the same-VC streamer's game.
Client Settings: Canary 36514
System Settings: Surface Pro 6; Windows 10 x64 1903","### Moved from Tested Bugs to Claimed Fixed, Needs Verification by Athena Yao on 2019-05-13T21:24:11.788Z


### Can Reproduce

MacBook Pro (13"", Mid-2012), macOS v10.14.4 (18E226) - Canary 36529 - Isabel Lomas on 2019-04-28T01:57:18.332Z


### Can reproduce.

Windows 10 Pro 17134 - canary 36529 - Cole Norman on 2019-04-28T01:57:05.172Z


### Moved from Bug Reports from Testers! to Tested Bugs by Solo on 2019-04-27T20:46:12.950Z


### Can reproduce.
macOS Mojave 10.14, Canary 36529 - Rage on 2019-04-27T20:39:12.218Z


### Can Reproduce,

Windows 10 Home x64 (1809), Canary 36525 - TheForbiddenAi on 2019-04-27T15:36:52.687Z


### Added by TacticalTechJay on 2019-04-27T05:57:15.118Z",Investigating,"Claimed Fixed, Needs Verification","Long: https://trello.com/c/79i1RSKM/6-hovering-over-other-streamers-in-a-different-vc-with-someone-streaming-a-different-game-will-show-the-streamers-game-in-current
Short: https://trello.com/c/79i1RSKM",None
2019-04-27T06:10:01.010Z,2019-06-14T18:25:46.473Z,Opening the stream to watch yourself makes the stream go black for everyone,"**Steps to reproduce:**
- Click on the live button when you're live
- Observe

**Expected Results:** Should (possibly) be able to watch yourself stream the game.
**Actual Results:** Shows that the stream is loading, but it gets stuck in an infinite loading loop and makes the stream black for everyone else
**System Settings:** W10, Canary 36518


**Note:** You have to double click on your name for the bug to occur. You can't double click on the mini stream pane.","### Moved from Claimed Fixed, Needs Verification to Verified Fixed by webhp on 2019-06-14T00:58:39.390Z


### CNR Canary 39690 -- Windows 10 Pro x64 v1903 18912.1001 - webhp on 2019-06-14T00:58:35.406Z


### Moved from Tested Bugs to Claimed Fixed, Needs Verification by Athena Yao on 2019-05-06T18:17:50.724Z


### Moved from Bug Reports from Testers! to Tested Bugs by webhp on 2019-04-28T15:43:28.739Z


### Can reproduce
Windows 10 Home x64 (1809) - Canary 36529 - Solo on 2019-04-27T20:09:07.937Z


### Added by Sam on 2019-04-27T06:10:01.010Z",Investigating,Verified Fixed,"Long: https://trello.com/c/fuR7c0wm/7-opening-the-stream-to-watch-yourself-makes-the-stream-go-black-for-everyone
Short: https://trello.com/c/fuR7c0wm",None
2019-04-27T06:12:41.249Z,2019-06-17T22:03:52.112Z,When in a different vc than a person streaming and then attempting to watch their stream it will auto join you to the vc but will not automatically open the stream,"**Short Description:** When in a different vc than a person streaming and then attempting to watch their stream it will auto join you to the vc but will not automatically open the stream
**Steps to Reproduce:**
1. Be in a different vc than someone streaming (this will not work if you are currently watching a stream)
2. Hover over than name and click watch stream
3. Observe how you join the vc but the stream doesn't start
**Expected Result:** The stream starts
**Actual Result:** The stream doesn't start 
**Client Settings:** Canary 36518
**System Settings:** Windows 10 Home x64 (1809)","### moved wrong accidentally vv - Isabel Lomas on 2019-04-27T19:59:35.886Z


### Moved from Wont Fix / Not A Bug to Confirmed Fixed by Isabel Lomas on 2019-04-27T19:59:27.774Z


### Moved from Claimed Fixed, Needs Verification to Wont Fix / Not A Bug by Isabel Lomas on 2019-04-27T19:59:26.357Z


### CNR

Windows 10 Home x64 (1809) - Canary 36529 - Isabel Lomas on 2019-04-27T19:59:23.057Z


### CNR Canary 36529 -- Windows 10 Pro x64 v1809 Build 11875.1000 - webhp on 2019-04-27T19:59:01.143Z


### CNR
Windows 10 Home x64 (1809), Canary 36529 - TheForbiddenAi on 2019-04-27T19:58:14.597Z


### Moved from Tested Bugs to Claimed Fixed, Needs Verification by TheForbiddenAi on 2019-04-27T19:57:55.883Z


### Moved from Bug Reports from Testers! to Tested Bugs by Solo on 2019-04-27T19:55:31.638Z


### Can reproduce
Windows 10 Home x64 (1809) - Canary 36526 - Solo on 2019-04-27T19:55:26.129Z


### Can Reproduce

Windows 10 Home x64 (1809) - Canary 36526 - Isabel Lomas on 2019-04-27T19:21:05.109Z


### https://i.imgur.com/IUnwuDe.gifv - https://i.imgur.com/IUnwuDe.gifv added by TheForbiddenAi on 2019-04-27T06:14:20.674Z


### Added by TheForbiddenAi on 2019-04-27T06:12:41.249Z",None,Verified Fixed,"Long: https://trello.com/c/a9JPcSaW/8-when-in-a-different-vc-than-a-person-streaming-and-then-attempting-to-watch-their-stream-it-will-auto-join-you-to-the-vc-but-wil
Short: https://trello.com/c/a9JPcSaW",None
2019-04-27T06:13:30.182Z,2019-04-27T06:30:45.923Z,"[Archived] [Overlay] Clicking a Watch Stream from a profile, in overlay will join the voice/video channel and a text channel","**Short Desc:** [Overlay] Clicking a Watch Stream from a profile, in overlay will join a text channel and voice/video channel
**Steps to reproduce:**
- Open a game with overlay
- Join a users overlay from their profile.
- Notice the Chat window.

**Expected Results:** You join the channel.
**Actual Results:** You join the channel and enter the text channel
**System Settings:** Win10 64 (1809)
**Client Settings:** Canary 36518 (0.0.235)","### Archived by Alipoodle on 2019-04-27T06:30:45.933Z


### Archived until overlay is relevent - Alipoodle on 2019-04-27T06:30:44.379Z


### Added by Alipoodle on 2019-04-27T06:13:30.182Z",None,Bug Reports from Testers!,"Long: https://trello.com/c/Jp1JQONP/9-overlay-clicking-a-watch-stream-from-a-profile-in-overlay-will-join-the-voice-video-channel-and-a-text-channel
Short: https://trello.com/c/Jp1JQONP",None
2019-04-27T06:16:22.140Z,2019-06-17T22:01:10.138Z,"Clicking a Watch Stream from a profile, will join change the text channel (changed to top most channel on here)","**Short Desc:** Clicking a Watch Stream from a profile, will join change the channel (changed to top most channel on here)
**Steps to reproduce:**
- Join a users overlay from their profile.
- Notice the change in channel

**Expected Results:** You stay in the same channel
**Actual Results:** You change channels (top most?)
**System Settings:** Win10 64 (1809)
**Client Settings:** Canary 36518 (0.0.235)","### Moved from Claimed Fixed, Needs Verification to Verified Fixed by webhp on 2019-06-14T00:23:45.112Z


### CNR Canary 39690 -- Windows 10 Pro x64 v1903 18912.1001 - webhp on 2019-06-14T00:23:39.511Z


### Moved from Tested Bugs to Claimed Fixed, Needs Verification by Athena Yao on 2019-05-04T00:32:06.033Z


### Can reproduce.
Windows 10 Home x64 v1809 - Discord Canary 36529
 - Daffyduck on 2019-04-28T18:28:37.086Z


### Can reproduce. Seems to only occur once though.

Canary 0.0.235 (Build 36529), Windows 10 Pro (64-bit), Creators Update (v1709, Build 16299.547) - Boruto on 2019-04-27T20:01:42.781Z


### Can reproduce,
Windows 10 Home x64 (1809), Canary 36529 - TheForbiddenAi on 2019-04-27T20:00:55.347Z


### Moved from Bug Reports from Testers! to Tested Bugs by Isabel Lomas on 2019-04-27T20:00:45.554Z


### Can Reproduce

Windows 10 Home x64 (1809) - Canary 36529 - Isabel Lomas on 2019-04-27T19:59:01.586Z


### Added by Alipoodle on 2019-04-27T06:16:22.140Z",Investigating,Verified Fixed,"Long: https://trello.com/c/nsiOFCv0/10-clicking-a-watch-stream-from-a-profile-will-join-change-the-text-channel-changed-to-top-most-channel-on-here
Short: https://trello.com/c/nsiOFCv0",None
