Created On,Latest Update,Title,Info,Card Log,Labels,List,URLs,Members
2016-12-13T03:02:59.767Z,2017-10-17T21:16:51.104Z,[Archived] High Latency CPU when not using PulseAudio,"Reported by Doctors#5417

####Steps to reproduce: 
- Use an alternative audio device managers such as alsa 
- Observe High CPU usage from discord 

####Expected result:
 Simular CPU usage as when using PulseAudio 
####Actual result:
 High CPU usage by discord when using something like alsa (Ported from https://github.com/crmarsh/discord-linux-bugs/issues/16)","### Archived by Mike Nisbet on 2017-10-17T21:16:51.107Z


### Archiving as this ticket as been Verified Fixed for over a month. - Mike Nisbet on 2017-10-17T21:16:50.400Z


### Moved from Claimed Fixed to Verified Fixed by Jared on 2017-01-05T22:36:20.533Z


### Moved from User Reported to Claimed Fixed by Chris Marsh on 2016-12-14T17:05:17.860Z


### I have this fixed in master, will be in next release. - Chris Marsh on 2016-12-13T17:36:31.154Z


### Added by Jared on 2016-12-13T03:02:59.767Z",None,Verified Fixed,"Long: https://trello.com/c/2hx27ZFm/1-high-latency-cpu-when-not-using-pulseaudio
Short: https://trello.com/c/2hx27ZFm",None
2016-12-17T16:47:31.263Z,2017-12-09T17:29:48.826Z,[Archived] Desktop Notifications firing despite being disabled viewing same channel,"Reported by Seriel 💖#0757

####Steps to reproduce: 
- Disable Desktop notifications, either by using DnD mode or the option in settings (Or both!) 
- Have someone send a DM or mention you. 

####Expected result:
 Notifications don't show because they are disabled. 
####Actual result:
 You recieve a Desktop notification despite having them disabled and viewing the same channel. 
####System settings:
 Antergos Cinnamon Latest Canary","### Archived by Alexandru Todea on 2017-12-09T17:29:48.828Z


### Archiving this card because it's been in the Cannot Reproduce list for more than a month with no new activity. - Alexandru Todea on 2017-12-09T17:29:46.480Z


### Moved from User Reported to Cannot Reproduce. by Clayton on 2017-11-08T23:19:37.322Z


### Can't reproduce, Kubuntu 16.04 - Clayton on 2017-11-08T23:19:32.992Z


### Added by Jared on 2016-12-17T16:47:31.263Z",P3: Will eventually be fixed,Cannot Reproduce.,"Long: https://trello.com/c/oUOVES4w/2-desktop-notifications-firing-despite-being-disabled-viewing-same-channel
Short: https://trello.com/c/oUOVES4w",None
2016-12-21T22:36:46.403Z,2019-03-18T21:39:10.476Z,Server icons have a white background when clicking & dragging them,"Reported by Noahkiq#9675

####Steps to reproduce: 
- Find a server 
- Click & drag the icon to reorder it 

####Expected result:
 The icon has a transparent background 
####Actual result:
 Background is white 
####System settings:
 Ubuntu 16.04, Discord Canary","### Can reproduce.
CR; Lubuntu 18.10 on Dell 755 USFF Core2Duo 6600 - Discord Canary 34132

Arnold0#7514 - Bug Bot on 2019-03-18T21:39:10.482Z


### Can't reproduce.
Antergos cinnamon ; discord canary 31316

Amosar#5160 - Bug Bot on 2019-01-26T00:13:28.825Z


### Can't reproduce.
Cannot reproduce Debian Stretch, Gnome 3.22, Discord Linux Canary 0.0.51 (Build 16234) Does not seem to happen on gnome.

Robin#0610 - Bug Bot on 2018-05-30T19:56:06.158Z


### Can reproduce.
Ubuntu 16.04.3 Note: It also happens with role names

grantwu#3796 - Bug Bot on 2018-02-20T16:20:54.159Z


### Can reproduce.
Ubuntu Budgie 17.04 / Canary

theLMGN#4036 - Bug Bot on 2017-08-30T12:40:48.674Z


### discussion: https://github.com/crmarsh/discord-linux-bugs/issues/193

advaith#9121 - Bug Bot on 2017-08-17T01:40:07.620Z


### Moved from User Reported to Discord Verified Bugs by Clayton on 2017-05-25T23:35:41.989Z


### Verified. Ubuntu 16.04 - Clayton on 2017-05-25T23:35:35.052Z


### Can reproduce.
Ubuntu 16.04 LTS, Discord PTB

CodingGamerHD#7761 - Bug Bot on 2017-04-10T18:55:49.563Z


### Can reproduce.
Ubuntu, Discord PTB

Ben Z.#1327 - Jared on 2017-02-22T02:24:05.946Z


### Can reproduce.
Linux Mint 18.1 x64, Latest Discord Canary

fluffycq#6938 - Jared on 2017-01-14T18:17:24.740Z


### Can reproduce.
Arch with gnome, discord 0.11

mralext20#8975 - Jared on 2016-12-21T22:37:40.986Z


### Can reproduce.
Arch Linux XFCE - Latest Canary

Seriel 💖#0757 - Jared on 2016-12-21T22:37:36.978Z


### Noahkiq#9675 - https://trello-attachments.s3.amazonaws.com/5846f7fdfa2f44d1f47267b0/585b03fe928af59a0aad82d2/b0d91484173c34b322db938d8b3a343b/unknown.png added by Jared on 2016-12-21T22:36:47.064Z


### Added by Jared on 2016-12-21T22:36:46.403Z","P3: Will eventually be fixed,
low",Discord Verified Bugs,"Long: https://trello.com/c/RpmkTB5k/3-server-icons-have-a-white-background-when-clicking-dragging-them
Short: https://trello.com/c/RpmkTB5k",None
2017-01-05T22:36:25.756Z,2017-01-05T22:37:07.178Z,test,,### Added by Jared on 2017-01-05T22:36:25.756Z,"P3: Will eventually be fixed,
P2: Can wait awhile,
P1: Severe,
P0: Need an immediate fix,
Need more info",test,"Long: https://trello.com/c/TZnBUh9i/5-test
Short: https://trello.com/c/TZnBUh9i",None
2017-01-20T16:48:05.434Z,2017-10-17T21:16:55.827Z,[Archived] giant icon in pavucontrol,"Reported by mralext20#8975

####Steps to reproduce: 
- 1. join a voice call 2. open pavucontrol -

####Expected result:
 normal sized icon - 
####Actual result:
 GIANT ICON","### Archived by Mike Nisbet on 2017-10-17T21:16:55.829Z


### Archiving as this ticket as been Verified Fixed for over a month. - Mike Nisbet on 2017-10-17T21:16:55.239Z


### Moved from Discord Verified Bugs to Verified Fixed by Jared on 2017-05-25T16:12:24.849Z


### This is not a bug in Discord. This is how GTK3 handles SVG files when the application in question does not explicitly size them. A patch for pavucontrol to resolve this can be found here: https://bugs.launchpad.net/ubuntu/+source/pavucontrol/+bug/1451160

Nevermind#5076 - Jared on 2017-02-09T02:20:20.465Z


### Moved from User Reported to Discord Verified Bugs by Jared on 2017-02-02T18:53:57.275Z


### Screenshot_from_2017-01-18_09-07-28.png - https://trello-attachments.s3.amazonaws.com/5846f7fdfa2f44d1f47267b0/58823f45cacc7519c2010175/831e4e301f3b6c6ea0272dbd1526fb38/Screenshot_from_2017-01-18_09-07-28.png added by Jared on 2017-01-20T16:48:21.335Z


### Can reproduce.
Chris said this is a known issue that's been around for a while, so I'm approving it on his behalf.

Dabbit Prime#0896 - Jared on 2017-01-20T16:48:08.019Z


### Can reproduce.
Kali Linux

Derumisis#7928 - Jared on 2017-01-20T16:48:06.223Z


### Added by Jared on 2017-01-20T16:48:05.434Z",None,Verified Fixed,"Long: https://trello.com/c/ahwtPKdX/8-giant-icon-in-pavucontrol
Short: https://trello.com/c/ahwtPKdX",None
2017-01-21T12:44:52.472Z,2017-10-17T21:17:06.429Z,[Archived] Programmer Dvorak keyboard layout does not work with Ctrl-[number] keyboard shortcuts,"Reported by Chrys#1856

####Steps to reproduce: 
- Run ``setxkbmap -layout us -variant dvp`` 
- Attempt Ctrl-1, Ctrl-2, etc. Expected Result: Since numbers are in a shift position on this layout, I expected Ctrl-Shift-[key on top row] to switch to different servers, like Ctrl-[number] does on the QWERTY layout. Actual result: Very un

####Expected result:
 Since numbers are in a shift position on this layout, I expected Ctrl-Shift-[key on top row] to switch to different servers, like Ctrl-[number] does on the QWERTY layout. 
####Actual result:
 Very unexpected results; some combinations work as if on a QWERTY layout, some others trigger unexpected keyboard shortcuts, and the remainder do not work at all. (https://p.teknik.io/GppCq) 
####System settings:
 (Arch) Linux, Discord Canary","### Archived by Mike Nisbet on 2017-10-17T21:17:06.445Z


### Archiving as this ticket as been Verified Fixed for over a month. - Mike Nisbet on 2017-10-17T21:17:05.810Z


### Can't reproduce - Jared on 2017-07-31T17:51:40.994Z


### Moved from Discord Verified Bugs to Verified Fixed by Jared on 2017-07-31T17:51:36.378Z


### Moved from User Reported to Discord Verified Bugs by Jared on 2017-02-02T18:53:54.497Z


### Can reproduce.
Linux Mint 18.1 Latest Discord

fluffycq#6938 - Jared on 2017-01-21T12:44:54.997Z


### Can reproduce.
arch linux 0.0.13 canary

mralext20#8975 - Jared on 2017-01-21T12:44:52.889Z


### Added by Jared on 2017-01-21T12:44:52.472Z",None,Verified Fixed,"Long: https://trello.com/c/OOQFvaFD/9-programmer-dvorak-keyboard-layout-does-not-work-with-ctrl-number-keyboard-shortcuts
Short: https://trello.com/c/OOQFvaFD",None
2017-01-30T21:22:38.187Z,2018-07-10T20:55:50.816Z,"Unchecking ""Run Discord when my computer starts"" doesn't prevent autostartup","Reported by Khionu#8708

####Steps to reproduce: 
- Uncheck said box 
- Restart 

####Expected result:
 Discord lets me start my smaller programs first 
####Actual result:
 Abusive Discord chooses my friends for me","### Available in canary 0.0.53, please test (it needed a full client update). - Jozsef Vass on 2018-07-10T20:55:24.528Z


### Moved from Fix made, not yet released to Claimed Fixed by Jozsef Vass on 2018-07-10T20:54:06.640Z


### My approach was to remove the file when autostart is disabled. - Jozsef Vass on 2018-07-10T19:13:40.840Z


### Moved from Reopened to Fix made, not yet released by Jozsef Vass on 2018-07-10T19:13:12.470Z


### Moved from Claimed Fixed to Reopened by Tarek on 2018-04-13T23:50:59.025Z


### This bug is still happening to non gnome distros. Several reports in DLinux.

Reopening ticket. - Tarek on 2018-04-13T23:50:55.617Z


### Discord uses a setting which isn't universal. In the file in ~/.config/autostart/ it sets X-GNOME-Autostart-enabled instead of Hidden or deleting the autostart file altogether on disable.

NorbiPeti#1869 - Bug Bot on 2018-02-07T21:57:46.462Z


### Can't reproduce.
Ubuntu 16.04 LTS x64, Discord Canary build 10310, I had an older `discord-undefined` autostart entry from dec 18 2017

NorbiPeti#1869 - Bug Bot on 2018-02-06T16:34:49.038Z


### Can reproduce.
Ubuntu 16.04 LTS x64, Discord Canary build 10310

NorbiPeti#1869 - Bug Bot on 2018-02-06T15:31:14.994Z


### Can reproduce.
CR, Discord Build 9070, Ubuntu 17.10

Anorak#5830 - Bug Bot on 2017-12-24T12:25:57.526Z


### This bug is now reproduceable with the ""Open Discord on start up "" Option in the Linux settings.

Starshine Dust#2189 - Bug Bot on 2017-11-25T21:16:08.470Z


### Moved from Discord Verified Bugs to Claimed Fixed by Mike Nisbet on 2017-09-29T19:24:03.305Z


### Cannot reproduce. Canary build 5085 Mint 17. - Mike Nisbet on 2017-09-29T19:23:59.009Z


### Can reproduce.
0.0.1

'Kᴀʏᴅᴀx'#8965 - Jared on 2017-02-04T05:44:04.209Z


### Can't reproduce.
Arch Linux XFCE - `discord-canary 0.0.15-3` (from AUR)

「Ｓｅｒｉｅｌ」#0757 - Jared on 2017-02-02T20:32:56.333Z


### Moved from User Reported to Discord Verified Bugs by Jared on 2017-02-02T18:53:52.200Z


### Can reproduce.
Dabbit told me to

七海 千秋 ★★★★#9667 - Jared on 2017-01-30T21:22:42.749Z


### Can reproduce.
dabbit asked to c:

MelodicStream#1336 - Jared on 2017-01-30T21:22:40.757Z


### Can reproduce.
arch discord canary ver 0.15

mralext20#8975 - Jared on 2017-01-30T21:22:38.797Z


### Added by Jared on 2017-01-30T21:22:38.187Z",None,Claimed Fixed,"Long: https://trello.com/c/9b0JVoTI/10-unchecking-run-discord-when-my-computer-starts-doesnt-prevent-autostartup
Short: https://trello.com/c/9b0JVoTI",None
2017-02-12T18:21:37.752Z,2017-08-16T00:49:24.890Z,"When fullscreening a video inside the Discord app you get a bar with *File, Edit, View and Help* I discovered this with a youtube video going into fullscreen","Reported by Zawaken#5038

####Steps to reproduce: 
- Find a embedded youtube Video 
- Start playing said youtube video 
-  Open up Video in fullscreen 
- Go out of fullscreen  

####Expected result:
 Nothing really changes 
####Actual result:
 A bar shows up (like the one in your file manager) which the options *File, Edit, View and Help* shows up on 
####System settings:
 Latest Discord Version, ran on Void Linux

1601","### Moved from User Reported to Claimed Fixed by Chris Marsh on 2017-08-16T00:49:24.894Z


### https://github.com/crmarsh/discord-linux-bugs/issues/165 - https://github.com/crmarsh/discord-linux-bugs/issues/165 added by Clayton on 2017-05-26T21:55:29.844Z


### Can reproduce.
PTB, works with Ubuntu, xfce4 DE

Ben Z.#1327 - Jared on 2017-02-22T02:07:59.226Z


### IbLEg.png - https://trello-attachments.s3.amazonaws.com/5846f7fdfa2f44d1f47267b0/58a0a7b13fb8673513b5ccce/8cabdf85300503ab15e6de52b564fbf7/IbLEg.png added by Jared on 2017-02-12T18:21:54.043Z


### crmarsh/discord-linux-bugs: Issue #165 - undefined added by Jared on 2017-02-12T18:21:53.401Z


### Can reproduce.
Canary Linux 0.0.15 (Arch Linux, i3)

Chrys#1856 - Jared on 2017-02-12T18:21:42.299Z


### Can reproduce.
Mint 3.0.7, latest canary

Mikesky#3456 - Jared on 2017-02-12T18:21:40.363Z


### Can reproduce.
arch linux 0.15 canary - might be an electron bug

mralext20#8975 - Jared on 2017-02-12T18:21:38.366Z


### Added by Jared on 2017-02-12T18:21:37.752Z",None,Claimed Fixed,"Long: https://trello.com/c/Ef2CKR5Z/11-when-fullscreening-a-video-inside-the-discord-app-you-get-a-bar-with-file-edit-view-and-help-i-discovered-this-with-a-youtube-vi
Short: https://trello.com/c/Ef2CKR5Z",None
2017-02-20T15:14:36.048Z,2018-05-13T15:46:17.685Z,Pasting a big enough screenshot from clipboard to discord causes it to hang and then not produce any error message on xfce,"Reported by Managor#5520

####Steps to reproduce: 
- Open xfce4-screenshooter 
- select ""Select a region"" 
- Take a screenshot at almost full screen 
- select ""Copy to clipboard"" 
- Try to paste the image to discord 
- 

####Expected result:
 The image should be pasted to discord or an error message should appear 
####Actual result:
 Discord hangs for a moment and then continues without any error message 
####System settings:
 Main discord version and xfce

1687","### Can reproduce.
Ubuntu 18.04 bionic xfce4 Release Channel: stable, Build Number: 15154, Version Hash: 5c7d1ecd0cb882f69e130300bea67183ed9f7e13

DataFlame#9001 - Bug Bot on 2018-05-13T15:46:17.687Z


### Moved from Cannot Reproduce. to Discord Verified Bugs by Jared on 2018-04-24T20:00:23.453Z


### Can reproduce as originally written. - Jared on 2018-04-24T20:00:19.027Z


### Moved from User Reported to Cannot Reproduce. by Clayton on 2018-01-09T23:02:54.034Z


### Cannot reproduce - Clayton on 2018-01-09T23:02:51.233Z


### Can reproduce.
Xubuntu 16.04.3 Canary build 7714

DarkPikachu#7314 - Bug Bot on 2017-11-28T10:42:49.792Z


### Can reproduce.
Linux PTB, Ubuntu

Ben Z.#1327 - Jared on 2017-02-22T01:56:30.995Z


### https://www.youtube.com/watch?v=1DVg1E6YALc - https://www.youtube.com/watch?v=1DVg1E6YALc added by Jared on 2017-02-20T15:14:51.989Z


### Can reproduce.
Ubuntu 16.04 w/ xfce4-screenshooter, Canary 0.0.15

nullpixel#0012 - Jared on 2017-02-20T15:14:40.921Z


### Can reproduce.
Xubuntu, latest Linux Canary

GerdSattler#3221 - Jared on 2017-02-20T15:14:38.897Z


### Can reproduce.
arch linux 0.15 xfce4 discord canary 0.0.15

mralext20#8975 - Jared on 2017-02-20T15:14:37.051Z


### Added by Jared on 2017-02-20T15:14:36.048Z","P3: Will eventually be fixed,
low",Discord Verified Bugs,"Long: https://trello.com/c/AgUEUiQR/12-pasting-a-big-enough-screenshot-from-clipboard-to-discord-causes-it-to-hang-and-then-not-produce-any-error-message-on-xfce
Short: https://trello.com/c/AgUEUiQR",None
2017-03-07T06:50:58.503Z,2017-09-29T19:21:56.018Z,"Discord errored out and won't launch, also stays in system tray.","Reported by CyberRonin#5517

####Steps to reproduce: 
- Try to fullscreen a YouTube video when it's loading -If it doesn't do it on the first go, I found that pausing/playing and trying to toggle fullscreen can get it to reproduce. 

####Expected result:
  The YouTube video properly displaying in fullscreen  

####Actual result:
  Discord froze, so I ended the process. I then deleted `/tmp/discord.sock` for it to work again. After deleting `/tmp/discord.sock` it still remains in the system tray. 
####System settings:
 Linux Mint 18.1 Cinnamon 64-bit Discord Version - Newest Release (non Canary) .deb http://i.imgur.com/idNgmAX.png http://i.imgur.com/eY1b62w.png http://i.imgur.com/Bhn5tDC.png

1839","### Moved from User Reported to Claimed Fixed by Mike Nisbet on 2017-09-29T19:21:55.991Z


### Cannot reproduce, canary build 5085 Mint 17. - Mike Nisbet on 2017-09-29T19:21:42.757Z


### http://imgur.com/idNgmAX - http://imgur.com/idNgmAX added by Jared on 2017-03-07T06:51:14.098Z


### http://imgur.com/Bhn5tDC - http://imgur.com/Bhn5tDC added by Jared on 2017-03-07T06:51:14.061Z


### http://imgur.com/eY1b62w - http://imgur.com/eY1b62w added by Jared on 2017-03-07T06:51:14.036Z


### Can reproduce.
Ubuntu, latest non-canary

GerdSattler#3221 - Jared on 2017-03-07T06:51:03.946Z


### Can reproduce.
Ubuntu 16.04, Latest discord canary (can't get version number sorry 😐)

nullpixel#0012 - Jared on 2017-03-07T06:51:01.089Z


### Can reproduce.
Arch 0.15. this bug was talked about in linux-general, and we discovered that it only occours when using hardware accel

mralext20#8975 - Jared on 2017-03-07T06:50:59.222Z


### Added by Jared on 2017-03-07T06:50:58.503Z",None,Claimed Fixed,"Long: https://trello.com/c/5Qj6q7Bs/14-discord-errored-out-and-wont-launch-also-stays-in-system-tray
Short: https://trello.com/c/5Qj6q7Bs",None
