Created On,Latest Update,Title,Info,Card Log,Labels,List,URLs,Members
2018-10-09T23:48:27.527Z,2019-06-21T20:48:03.032Z,[Archived] Clicking nope on an age warning for a game you open from browse takes you back to the directory instead of browse,"Reported by Rashaun#9295

####Steps to reproduce:
- Go into the Store 
- Click on browse 
- Open a game that is for mature audiences (This is the Police 2 for example) 
- Click nope when it asks if you're over 18

####Expected result:
You get taken back to the browse page
####Actual result:
You get taken back to the directory
####Client settings:
Canary Build 25825
####System settings:
Windows 10 Home x64 1803

20905","### Archived by Bug Bot on 2019-06-21T20:48:03.043Z


### Imported from https://trello.com/b/5771673855f47b547f2decc3 by ghoul_the_kitty on 2018-10-22T22:54:25.530Z


### Moving this card from the Desktop board to Store board. - ghoul_the_kitty on 2018-10-22T22:54:09.608Z


### verified.  - Clayton on 2018-10-10T23:48:51.973Z


### Can reproduce.
Windows 10 Home; Canary Build 25859

O.O. Gold the Dank Meme Lord#4151 - Bug Bot on 2018-10-10T02:59:17.400Z


### Can reproduce.
Windows 10 Pro v1809 x64 - Discord Canary 25835

webhp#1337 - Bug Bot on 2018-10-09T23:48:44.836Z


### Can reproduce.
Windows 10 Pro 64-bit Build 10.0.17134, Discord Canary Build 25825

THAT SIDE // 45 RPM#7408 - Bug Bot on 2018-10-09T23:48:39.847Z


### Can reproduce.
Can reproduce, Windows 10 Pro x64 Canary 25825

Delite#0001 - Bug Bot on 2018-10-09T23:48:34.863Z


### Added by Bug Bot on 2018-10-09T23:48:27.527Z","P3: Will get fixed eventually,
Low",Verified Bugs,"Long: https://trello.com/c/q1sBqdB4/44-clicking-nope-on-an-age-warning-for-a-game-you-open-from-browse-takes-you-back-to-the-directory-instead-of-browse
Short: https://trello.com/c/q1sBqdB4",None
2018-10-09T23:49:46.561Z,2019-06-21T20:48:04.368Z,[Archived] The search icon in the store has a hand cursor instead of an arrow.,"Reported by webhp#1337

####Steps to reproduce:
- Open the store 
- Hover your cursor over the search icon

####Expected result:
It should be an arrow like other search boxes.
####Actual result:
It is a hand cursor.
####Client settings:
Canary 25807
####System settings:
Windows 10 Pro x64 v1809

20903","### Archived by Bug Bot on 2019-06-21T20:48:04.378Z


### Imported from https://trello.com/b/5771673855f47b547f2decc3 by ghoul_the_kitty on 2018-10-22T22:56:54.862Z


### Moving this card from the Desktop board to Store board. - ghoul_the_kitty on 2018-10-22T22:56:49.461Z


### Can reproduce.
Windows 10 Pro x64 v1709, Canary 26007

zephr#1634 - Bug Bot on 2018-10-11T12:27:53.859Z


### minor - Clayton on 2018-10-10T22:58:23.306Z


### Can reproduce.
Windows 10 Pro 64-bit v1803, Canary Build 25825

THAT SIDE // 45 RPM#7408 - Bug Bot on 2018-10-09T23:50:03.847Z


### Can reproduce.
Windows 10 Home; Canary Build 25825

O.O. Gold the Dank Meme Lord#4151 - Bug Bot on 2018-10-09T23:49:58.940Z


### Can reproduce.
Windows 10 Pro x64, Release Channel: Canary 25807

Aeria#1593 - Bug Bot on 2018-10-09T23:49:53.840Z


### Added by Bug Bot on 2018-10-09T23:49:46.561Z","P3: Will get fixed eventually,
Low",Verified Bugs,"Long: https://trello.com/c/KYOhRam2/48-the-search-icon-in-the-store-has-a-hand-cursor-instead-of-an-arrow
Short: https://trello.com/c/KYOhRam2",None
2018-10-10T00:03:04.010Z,2019-06-21T20:48:02.521Z,[Archived] Back to Directory button acts as a backspace in the Browse section when text is inputted into the Find By Title field or when you've changed the state of a filter,"Reported by Ene#0808

####Steps to reproduce:
- Go to the Store tab 
- Click on ""View All Games"" 
- Input text into the Find by title field 
- Press the back button on the top left and observe

####Expected result:
You should be taken back to the Directory
####Actual result:
The button backspaces the last action you did, deleting a character from the Find By Title field or going back to the previous state of the game filter
####Client settings:
Discord Canary 0.0.215, Build 25835
####System settings:
Windows 10 Home 64-bit (v1803)

20912","### Archived by Bug Bot on 2019-06-21T20:48:02.532Z


### Can reproduce.
CR Windows 10 64x 1709 Stable 27065, Going back from a game removes all filters from Browsing the store games.

Alipoodle#5025 - Bug Bot on 2018-10-30T12:56:53.459Z


### Imported from https://trello.com/b/5771673855f47b547f2decc3 by ghoul_the_kitty on 2018-10-22T22:52:48.823Z


### Moving this card from the Desktop board to Store board. - ghoul_the_kitty on 2018-10-22T22:52:42.487Z


### verified.  - Clayton on 2018-10-10T23:49:32.744Z


### Can reproduce.
Windows 10 Pro 64-bit v1803, Canary Build 25835

THAT SIDE // 45 RPM#7408 - Bug Bot on 2018-10-10T00:03:21.353Z


### Can reproduce.
Windows 10 Pro v1809 x64 - Discord Canary 25835

webhp#1337 - Bug Bot on 2018-10-10T00:03:16.378Z


### Can reproduce.
Can Reproduce - Canary Build 25825 Windows 10 Home x64 1803

Rashaun#9295 - Bug Bot on 2018-10-10T00:03:11.426Z


### Added by Bug Bot on 2018-10-10T00:03:04.010Z","P3: Will get fixed eventually,
Low",Verified Bugs,"Long: https://trello.com/c/WPNeZS2e/42-back-to-directory-button-acts-as-a-backspace-in-the-browse-section-when-text-is-inputted-into-the-find-by-title-field-or-when-yo
Short: https://trello.com/c/WPNeZS2e",None
2018-10-10T00:24:03.325Z,2020-01-17T15:49:08.425Z,[Archived] Mouse cursor goes behind the built-in video player from Discord,"Reported by Ene#0808

####Steps to reproduce:
- Go to the Store tab 
- Open one of the store page of a game that has a video using Discord's built-in player (such as Bridge Constructor) 
- Play the video shown in the slide bar and while it's playing, click on one of the other slides 
- Go back to the slide that had the video and move your mouse over the video and observe

####Expected result:
Your mouse cursor should appear over the video
####Actual result:
Your mouse cursor appears behind the video until you re-click on the player
####Client settings:
Discord Canary 0.0.215, Build 25845
####System settings:
Windows 10 Home 64-bit (v1803)

20917","### Can reproduce.
Windows 10 Home x64 1909, Canary 52818 host 0.0.259

Jean20B#4668 - Bug Bot on 2020-01-17T15:49:08.438Z


### Archived by Bug Bot on 2019-06-21T20:48:03.801Z


### Imported from https://trello.com/b/5771673855f47b547f2decc3 by ghoul_the_kitty on 2018-10-22T22:56:27.693Z


### Moving this card from the Desktop board to Store board. - ghoul_the_kitty on 2018-10-22T22:56:20.258Z


### verifed - Clayton on 2018-10-10T23:13:31.783Z


### Can reproduce.
Can reproduce, Windows 10 Pro x64 Discord Canary 25835

Delite#0001 - Bug Bot on 2018-10-10T00:24:20.641Z


### Can reproduce.
Windows 10 Pro v1809 x64 - Discord Canary 25835

webhp#1337 - Bug Bot on 2018-10-10T00:24:15.652Z


### Can reproduce.
Windows 10 Pro 64-bit v1803, Canary Build 25835

THAT SIDE // 45 RPM#7408 - Bug Bot on 2018-10-10T00:24:10.732Z


### Added by Bug Bot on 2018-10-10T00:24:03.325Z","P3: Will get fixed eventually,
Low",Verified Bugs,"Long: https://trello.com/c/0tWMXI1k/46-mouse-cursor-goes-behind-the-built-in-video-player-from-discord
Short: https://trello.com/c/0tWMXI1k",None
2018-10-10T00:43:47.432Z,2019-06-21T20:48:02.790Z,[Archived] Zooming in on the store to 200% with a small window resolution will prevent you from exiting the store upon entering it.,"Reported by webhp#1337

####Steps to reproduce:
- Go to the Store 
- Make your window as small as possible and zoom in until you can no longer see the DM sidebar and server list.

####Expected result:
At no time should you completely lose access to the DM sidebar and server list.
####Actual result:
You no longer can see the DM sidebar and are stuck in the store unless you zoom out.
####Client settings:
Canary 25845
####System settings:
Windows 10 Pro x64 v1809

20920","### Archived by Bug Bot on 2019-06-21T20:48:02.800Z


### Imported from https://trello.com/b/5771673855f47b547f2decc3 by ghoul_the_kitty on 2018-10-22T22:53:01.438Z


### Moving this card from the Desktop board to Store board. - ghoul_the_kitty on 2018-10-22T22:52:55.548Z


### Can reproduce.
Windows 10 Pro x64 v1709, Canary 26007

zephr#1634 - Bug Bot on 2018-10-11T12:25:53.085Z


### minor - Clayton on 2018-10-10T23:49:03.471Z


### Can reproduce.
Canary 25845, Windows 10 Pro 1803

DowDaw#0008 - Bug Bot on 2018-10-10T00:44:04.769Z


### Can reproduce.
Windows 10 Pro 64-bit v1803, Discord Canary 25845

THAT SIDE // 45 RPM#7408 - Bug Bot on 2018-10-10T00:43:59.750Z


### Can reproduce.
Can Reproduce - Canary Build 25845 Windows 10 Home x64 1803

Rashaun#9295 - Bug Bot on 2018-10-10T00:43:54.757Z


### Added by Bug Bot on 2018-10-10T00:43:47.432Z","P3: Will get fixed eventually,
Low",Verified Bugs,"Long: https://trello.com/c/JEgUwwI9/43-zooming-in-on-the-store-to-200-with-a-small-window-resolution-will-prevent-you-from-exiting-the-store-upon-entering-it
Short: https://trello.com/c/JEgUwwI9",None
2018-10-10T01:11:40.661Z,2019-06-21T20:48:02.258Z,[Archived] Opening settings in the Store tab will cause the ESC key to not close the settings.,"Reported by webhp#1337

####Steps to reproduce:

- Go to the Store tab 
- Open User Settings 
- Press ESC

####Expected result:
The settings page closes
####Actual result:
It does not.
####Client settings:
Canary 25807
####System settings:
Windows 10 Pro x64 v1809

20909","### Archived by Bug Bot on 2019-06-21T20:48:02.269Z


### Can reproduce.
Win 10 Pro 64x, Canary Build 27040

C4Navar#5799 - Bug Bot on 2018-10-28T18:40:30.149Z


### Imported from https://trello.com/b/5771673855f47b547f2decc3 by ghoul_the_kitty on 2018-10-22T22:52:34.854Z


### Moving this card from the Desktop board to Store board. - ghoul_the_kitty on 2018-10-22T22:52:29.172Z


### Can reproduce.
Windows 10 Pro x64 v1709, Canary 26007

zephr#1634 - Bug Bot on 2018-10-11T12:24:16.842Z


### verified - Clayton on 2018-10-11T01:56:17.167Z


### Can reproduce.
Discord Canary 0.0.215, Build 25859, Windows 10 Home 64-bit (v1803)

Ene#0808 - Bug Bot on 2018-10-10T01:11:57.960Z


### Can reproduce.
Can Reproduce. Discord Canary 0.0.195 (Build Number:25825) macOS Mojave 10.14

Ghostly#0001 - Bug Bot on 2018-10-10T01:11:52.944Z


### Can reproduce.
Windows 10 Pro 64-bit v1803, Canary Build 25825

THAT SIDE // 45 RPM#7408 - Bug Bot on 2018-10-10T01:11:47.974Z


### Added by Bug Bot on 2018-10-10T01:11:40.661Z","P3: Will get fixed eventually,
Low",Verified Bugs,"Long: https://trello.com/c/8XrNDRBc/41-opening-settings-in-the-store-tab-will-cause-the-esc-key-to-not-close-the-settings
Short: https://trello.com/c/8XrNDRBc",None
2018-10-10T02:06:41.588Z,2019-06-21T20:52:07.075Z,[Archived] Clicking on the blog post in the Store tab throws an Uncaught TypeError error in the console,"Reported by Ene#0808

####Steps to reproduce:
- Go to the Store tab 
- Open your console with ctrl + shift + i (cmd + shift + i for macOS) 
- Click on the ""Why is Discord building a store"" to open the blog 
- Go back to your client and observe the error in the console

####Expected result:
No error thrown in the console
####Actual result:
An Uncaught TypeError error is thrown
####Client settings:
Discord Canary 0.0.215, Build 25845
####System settings:
Windows 10 Home 64-bit (v1803)

20919","### Archived by Bug Bot on 2019-06-21T20:52:07.085Z


### Imported from https://trello.com/b/5771673855f47b547f2decc3 by tarek_ on 2018-10-26T05:21:16.907Z


### Store bug. - tarek_ on 2018-10-26T05:21:05.655Z


### Cannot repro anymore, Canary 26655. Moving to claimed fixed. - tarek_ on 2018-10-22T05:43:45.373Z


### Can reproduce.
Windows 10 Pro x64 v1709, Canary 26007

zephr#1634 - Bug Bot on 2018-10-11T12:20:47.359Z


### minor - Clayton on 2018-10-11T01:56:48.495Z


### Can reproduce.
MacBook Air macOS 10.14.1; Canary 25859

OrangeM24#5746 - Bug Bot on 2018-10-10T02:06:58.919Z


### Can reproduce.
Windows 10 Pro 64-bit v1803, Discord Canary 25845

THAT SIDE // 45 RPM#7408 - Bug Bot on 2018-10-10T02:06:53.899Z


### Can reproduce.
Windows 10 Pro v1809 x64 - Discord Canary 25845

webhp#1337 - Bug Bot on 2018-10-10T02:06:48.961Z


### Added by Bug Bot on 2018-10-10T02:06:41.588Z","P3: Will get fixed eventually,
Low","Claimed Fixed, needs Verification","Long: https://trello.com/c/4bRM76jx/62-clicking-on-the-blog-post-in-the-store-tab-throws-an-uncaught-typeerror-error-in-the-console
Short: https://trello.com/c/4bRM76jx",None
2018-10-10T02:12:27.856Z,2019-06-21T20:48:05.465Z,[Archived] Certain letters in the filter options in Store search overlaps drop down menu,"Reported by Rashaun#9295

####Steps to reproduce:
- Go to the Store tab 
- Search something, or click ""View all games"" 
- Open the genre drop down menu 
- Observe the ""g"" in ""All genres""

####Expected result:
The ""g"" doesn't overlap the dropdown menu
####Actual result:
The ""g"" overlaps the dropdown menu
####Client settings:
Canary Build 25825
####System settings:
Windows 10 Home x64 1803

20902","### Archived by Bug Bot on 2019-06-21T20:48:05.475Z


### Imported from https://trello.com/b/5771673855f47b547f2decc3 by ghoul_the_kitty on 2018-10-22T22:57:47.013Z


### Moving this card from the Desktop board to Store board. - ghoul_the_kitty on 2018-10-22T22:57:38.416Z


### Can reproduce.
Windows 10 Pro x64 (1709), Canary 26007

zephr#1634 - Bug Bot on 2018-10-11T12:17:40.826Z


### Can reproduce.
Windows 10 Home, Canary Build 25859

Ossyishere#2281 - Bug Bot on 2018-10-10T02:26:47.866Z


### Can reproduce.
MacBook Air macOS 10.14.1; Canary 25859

OrangeM24#5746 - Bug Bot on 2018-10-10T02:12:45.189Z


### Can reproduce.
Windows 10 Pro 64-bit v1803, Canary Build 25835. Can be appreciated more clearly here https://imgur.com/GyYkNCH

THAT SIDE // 45 RPM#7408 - Bug Bot on 2018-10-10T02:12:40.242Z


### Can reproduce.
Windows 10 Home; Canary Build 25825

O.O. Gold the Dank Meme Lord#4151 - Bug Bot on 2018-10-10T02:12:35.237Z


### Rashaun#9295 - https://trello-attachments.s3.amazonaws.com/5771673855f47b547f2decc3/5bbd600b6f386c45512d76ed/656699783bc58e6923b3b26d75cafec0/i6XN99Z.png added by Bug Bot on 2018-10-10T02:12:30.255Z


### Added by Bug Bot on 2018-10-10T02:12:27.856Z","P3: Will get fixed eventually,
Low",Verified Bugs,"Long: https://trello.com/c/CJrWwSKz/52-certain-letters-in-the-filter-options-in-store-search-overlaps-drop-down-menu
Short: https://trello.com/c/CJrWwSKz",None
2018-10-10T02:46:15.533Z,2019-06-21T20:48:01.970Z,"[Archived] Clicking ""View All Nitro Games"" in the Discord Nitro section or from the Game Activity modal from a user player a game that's available in the Store while having the Games tab disabled still takes you into the Store tab","Reported by Ene#0808

####Steps to reproduce:
- Go into your User Settings -> Appearance and toggle ""Show Games Tab"" off (if not already) 
- Go into your Discord Nitro settings panel and click on ""View All Nitro Games"" under the game tiles

####Expected result:
Either a modal should pop-up telling you how to enable the Store tab or one with the option to enable it right from there and then it takes you to the Store tab
####Actual result:
You're taken into the Store tab even though you have it disabled
####Client settings:
Discord Canary 0.0.215, Build 25845
####System settings:
Windows 10 Home 64-bit (v1803)

20922","### Archived by Bug Bot on 2019-06-21T20:48:01.981Z


### Can reproduce.
Windows 10 LTSB x64 1607 (14393.2214), Canary 27574

avror#0001 - Bug Bot on 2018-11-07T13:26:15.469Z


### Imported from https://trello.com/b/5771673855f47b547f2decc3 by ghoul_the_kitty on 2018-10-22T22:51:17.938Z


### Moving this card from the Desktop board to Store board. - ghoul_the_kitty on 2018-10-22T22:51:11.316Z


### verified - Clayton on 2018-10-11T02:00:01.133Z


### Can reproduce.
Can reproduce Windows 10 Pro x64 (17134). Discord Canary 25859

coolalmostchilly#1015 - Bug Bot on 2018-10-10T02:46:32.822Z


### Can reproduce.
MacBook Air macOS 10.14.1; Canary 25859

OrangeM24#5746 - Bug Bot on 2018-10-10T02:46:27.832Z


### Can reproduce.
Windows 10 Pro v1809 x64 - Discord Canary 25845

webhp#1337 - Bug Bot on 2018-10-10T02:46:22.920Z


### Added by Bug Bot on 2018-10-10T02:46:15.533Z","P3: Will get fixed eventually,
Mid",Verified Bugs,"Long: https://trello.com/c/7tLTzaMo/40-clicking-view-all-nitro-games-in-the-discord-nitro-section-or-from-the-game-activity-modal-from-a-user-player-a-game-thats-avail
Short: https://trello.com/c/7tLTzaMo",None
2018-10-10T03:11:49.695Z,2019-06-21T20:48:04.082Z,[Archived] You are able to place your cursor behind the search icon in the store.,"Reported by webhp#1337

####Steps to reproduce:
- Open the Store 
- Place your cursor directly next to the search icon

####Expected result:
Nothing should happen and it should not show the selection cursor
####Actual result:
It shows the selection cursor and allows you to select the box by clicking to the right of the search icon.
####Client settings:
Canary 25807
####System settings:
Windows 10 Pro x64 v1809

20906","### Archived by Bug Bot on 2019-06-21T20:48:04.092Z


### Imported from https://trello.com/b/5771673855f47b547f2decc3 by ghoul_the_kitty on 2018-10-22T22:56:40.997Z


### Moving this card from the Desktop board to Store board. - ghoul_the_kitty on 2018-10-22T22:56:35.813Z


### Can reproduce.
Windows 10 Pro x64 Canary: 26143

Neiron#5555 - Bug Bot on 2018-10-13T13:41:14.063Z


### Can reproduce.
Macbook Air • macOS Sierra 10.12.6 • Canary 25872

Rage#9991 - Bug Bot on 2018-10-10T14:51:42.531Z


### Can reproduce.
Windows 10 Pro, x64 (v1803) - Discord Canary Build 25872

Hole#0001 - Bug Bot on 2018-10-10T08:36:22.628Z


### Can reproduce.
Windows 10 x64 1809 (17763), Discord Canary with Build number 25872

Frances Picard#6209 - Bug Bot on 2018-10-10T04:38:15.952Z


### verified - Clayton on 2018-10-10T04:09:53.577Z


### Can reproduce.
CR, Windows 10 Home x64 (1803), Canary 25718

Augy.#8622 - Bug Bot on 2018-10-10T03:12:09.323Z


### Can reproduce.
MacBook Air macOS 10.14.1; Canary 25859

OrangeM24#5746 - Bug Bot on 2018-10-10T03:12:04.412Z


### Can reproduce.
Can reproduce, Windows 10 Pro x64 Canary 25825

Delite#0001 - Bug Bot on 2018-10-10T03:12:00.000Z


### Added by Bug Bot on 2018-10-10T03:11:49.695Z","P3: Will get fixed eventually,
Low",Verified Bugs,"Long: https://trello.com/c/D4blAgnX/47-you-are-able-to-place-your-cursor-behind-the-search-icon-in-the-store
Short: https://trello.com/c/D4blAgnX",None
