Created On,Latest Update,Title,Info,Card Log,Labels,List,URLs,Members
2018-07-20T03:25:28.955Z,2019-08-03T01:21:31.009Z,[Website Bug] Pressing the redirection link at the bottom of a 404 page breaks the site,"Reported by webhp#1337

####Steps to reproduce:
- Go to a non-existent page 
- Click the Discord logo at the bottom

####Expected result:
It should redirect to the homepage properly.
####Actual result:
It breaks the site and shows a white page.
####Client settings:
Firefox Nightly v63.0a1
####System settings:
Windows 10 Pro x64 v1803 Firefox Nightly v63.0a1

15685","### Can reproduce.
Early 2015 Macbook Pro Retina 13"" // macOS Sierra (10.12.6) //  Chrome: 75.0.3770.142 (Official Build) (64-bit)

xTeal#7702 - Bug Bot on 2019-08-03T01:21:31.021Z


### Can reproduce.
CR, Chrome 74, Windows 10 Home x64 (1809)

TheForbiddenAi#7549 - Bug Bot on 2019-05-24T00:35:16.615Z


### Can reproduce.
Windows 10 Home x64 | Chrome 72.0.3626.81

charleskimbac#6492 - Bug Bot on 2019-02-02T02:50:25.089Z


### Can reproduce.
Windows 10 Home; Google Chrome 70.0.3538.102

O.O. Gold the Dank Meme Lord#4151 - Bug Bot on 2018-11-21T19:54:05.365Z


### Can reproduce.
Tested on Windows 10 Home 64-bit (1803) with Discord Canary Build Chrome Version 69.0.3497.100

that15fine#9275 - Bug Bot on 2018-09-29T12:09:59.334Z


### Can reproduce.
Can Reproduce - MacBook Pro (13""), macOS 10.13.6 - Firefox v63.0a1

Mippy#0001 - Bug Bot on 2018-08-13T08:55:55.009Z


### Can reproduce.
Chrome 68.0.3440.75, win10 1803 x64

Frances Picard#6209 - Bug Bot on 2018-07-31T17:44:35.465Z


### verified, macos 10.12.6, chrome 67.0.3396.99 - Clayton on 2018-07-20T20:53:06.904Z


### Trello link: https://trello.com/c/0L06ligz

webhp#1337 - Bug Bot on 2018-07-20T04:20:05.074Z


### Can reproduce.
[CR] Windows 10 x64 (1803), Chrome Official 67.0.3396.99

54D#1357 - Bug Bot on 2018-07-20T03:25:46.326Z


### Can reproduce.
Windows 10 Pro x64 v1803

Thundy 「HIATUS」#2018 - Bug Bot on 2018-07-20T03:25:41.257Z


### Can reproduce.
Windows 10 Home x64 (1803), Google Chrome v67.0.3396.99

NicholasY#4815 - Bug Bot on 2018-07-20T03:25:36.286Z


### Added by Bug Bot on 2018-07-20T03:25:28.955Z","P3: Will get fixed eventually,
Low",Verified Bugs,"Long: https://trello.com/c/0L06ligz/1-website-bug-pressing-the-redirection-link-at-the-bottom-of-a-404-page-breaks-the-site
Short: https://trello.com/c/0L06ligz",None
2018-07-20T03:45:23.303Z,2019-07-10T23:14:42.096Z,[Website Bug] The exclamation mark animation on the staff page freezes if you move your cursor away from the staff member.,"Reported by webhp#1337

####Steps to reproduce:
- Go to the Discord staff page 
- Scroll down to ""Meet the Squad"" 
- Hover you mouse over a staff member and remove it until you get the red exclamation mark. 
- Remove your cursor.

####Expected result:
The animation completes.
####Actual result:
The animation freezes and does not complete.
####Client Settings:
Firefox Nightly v63.0a1
####System settings:
Windows 10 Pro x64 v1803 Firefox Nightly v63.0a1

15689","### Moved from Verified Bugs to Not a Bug by Aeria on 2019-07-10T23:14:42.108Z


### The section showing Staff Members does not seem to exist anymore.
Moving to Not A Bug. - Aeria on 2019-07-10T23:14:37.496Z


### Can reproduce.
CR. Macbook Air • macOS Sierra 10.12.6 • Canary 23589

Rage#9991 - Bug Bot on 2018-09-13T17:55:29.945Z


### Can reproduce.
Can Reproduce - Windows 10 Home x64 (1803) - Firefox v61.0.2

Mippy#0001 - Bug Bot on 2018-08-13T11:05:25.854Z


### verified, macos 10.12.6, chrome 67.0.3396.99 - Clayton on 2018-07-20T20:54:31.050Z


### Trello link: https://trello.com/c/xU9Z8KbJ

webhp#1337 - Bug Bot on 2018-07-20T04:20:22.672Z


### Can reproduce.
Windows 10 x64 v1803, Chrome 67.0.3396.99

AlwaysMyFault#4051 - Bug Bot on 2018-07-20T03:45:40.714Z


### Can reproduce.
[CR] Windows 10 x64 (1803), Chrome Official 67.0.3396.99

54D#1357 - Bug Bot on 2018-07-20T03:45:35.779Z


### Can reproduce.
Windows 10 Home x64 (1803), Google Chrome v67.0.3396.99

NicholasY#4815 - Bug Bot on 2018-07-20T03:45:30.768Z


### webhp#1337 - https://i.imgur.com/evIbhnk.gifv added by Bug Bot on 2018-07-20T03:45:25.885Z


### Added by Bug Bot on 2018-07-20T03:45:23.303Z","P3: Will get fixed eventually,
Low",Not a Bug,"Long: https://trello.com/c/xU9Z8KbJ/2-website-bug-the-exclamation-mark-animation-on-the-staff-page-freezes-if-you-move-your-cursor-away-from-the-staff-member
Short: https://trello.com/c/xU9Z8KbJ",None
2018-07-20T04:43:33.423Z,2019-07-19T20:18:50.071Z,[Master Ticket] OAuth2 URI Redirects have broken detection for valid URLs,"Reported by mrkirby153#7840

####Steps to reproduce:
- Open up the developer portal and go to oauth2 
- Click ""Add Redirect"" 
- Click ""save""

####Expected result:
You shouldn't be able to enter an empty redirect url
####Actual result:
You can enter and save a redirect url
####Client settings:
Chrome 67.0.3396.99
####System settings:
Windows 10 Home x64

15710","### The Regex to check for URL's seems to be broken for the Redirects, as seen further by these two tickets:
https://trello.com/c/zSdEq1LN
https://trello.com/c/VRDUyAR3 - Aeria on 2019-07-19T01:17:47.596Z


### Can reproduce.
MacBook Pro (13"", Mid-2012), macOS v10.14.2 (Mojave) - Web Stable 31784 - Firefox v65.0 (64-bit)

Isabel#0002 - Bug Bot on 2019-02-04T01:41:43.651Z


### Can reproduce.
Google Chrome    71.0.3578.98 - Windows 7 Ultimate 64-bit Version 6.1 Build 7601

Super#8276 - Bug Bot on 2019-01-16T18:21:30.125Z


### verified, macos 10.12.6, chrome 67.0.3396.99 - Clayton on 2018-07-20T21:06:38.867Z


### Can reproduce.
Windows 10 Pro x64. Discord Canary 19332

ThorWolf#0001 - Bug Bot on 2018-07-20T07:55:36.538Z


### Can reproduce.
CR, Windows 10 Home (1803) x64, Canary 0.0.211 (Chrome 67.0.3396.99 (Stable))

DeJay#1337 - Bug Bot on 2018-07-20T04:43:51.039Z


### Can reproduce.
CR, Google Chrome 67.0.3396.99

Beeen#0001 - Bug Bot on 2018-07-20T04:43:46.010Z


### Can reproduce.
[CR] Windows 10 x64 (1803), Chrome Official 67.0.3396.99

54D#1357 - Bug Bot on 2018-07-20T04:43:41.053Z


### Added by Bug Bot on 2018-07-20T04:43:33.423Z","P3: Will get fixed eventually,
Low",Verified Bugs,"Long: https://trello.com/c/MCLsmEzP/3-master-ticket-oauth2-uri-redirects-have-broken-detection-for-valid-urls
Short: https://trello.com/c/MCLsmEzP",None
2018-07-20T04:47:15.095Z,2019-07-27T10:21:35.286Z,[Website Bug] Going to a nonexistent sub page of your application does not return a 404 page or kick back out to General Information.,"Reported by webhp#1337

####Steps to reproduce:
- Open an application in the Developer Portal 
- remove ""/information"" and append ""/djffdskjfds"" to the url.

####Expected result:
It should display a 404, an error, or kick back to General Information.
####Actual result:
It shows a blank page.
####Client settings:
NA
####System settings:
Windows 10 Pro x64 v1803 Firefox Nightly v63.0a1

15700","### Moved from Claimed Fixed, needs Verification to Verified Fixed by Pascal on 2019-07-18T14:49:31.073Z


### Cannot reproduce with MacBook Pro 13"" (2016) running macOS Mojave 10.14.5 and Safari Version 12.1.1.

It shows a **Route not found!** page now.

Moving to Verified Fixed list. - Pascal on 2019-07-18T14:49:21.447Z


### Moved from Verified Bugs to Claimed Fixed, needs Verification by Aeria on 2019-07-10T23:25:19.366Z


### Can Not Reproduce: Windows 10 Pro x64, Chrome Version 75.0.3770.100 (64-bit)
Moving to Claimed Fixed. - Aeria on 2019-07-10T23:25:13.872Z


### verified, macos 10.12.6, chrome 67.0.3396.99 - Clayton on 2018-07-20T21:19:47.816Z


### Can reproduce.
Windows 10 Pro x64. Discord Canary 19332

ThorWolf#0001 - Bug Bot on 2018-07-20T07:55:33.787Z


### Can reproduce.
Google Chrome 67.0.3396.99

Beeen#0001 - Bug Bot on 2018-07-20T04:47:32.625Z


### Can reproduce.
Windows 10 Home x64 - Chrome 67.0.3396.99

mrkirby153#7840 - Bug Bot on 2018-07-20T04:47:27.649Z


### Can reproduce.
[CR] Windows 10 x64 (1803), Chrome Official 67.0.3396.99

54D#1357 - Bug Bot on 2018-07-20T04:47:22.616Z


### Added by Bug Bot on 2018-07-20T04:47:15.095Z","P3: Will get fixed eventually,
Low",Verified Fixed,"Long: https://trello.com/c/A9F5KoLm/4-website-bug-going-to-a-nonexistent-sub-page-of-your-application-does-not-return-a-404-page-or-kick-back-out-to-general-informati
Short: https://trello.com/c/A9F5KoLm",None
2018-07-20T04:47:29.668Z,2019-04-25T22:03:47.662Z,[Website Bug] Going to an application URL without being logged in does not retain the full URL path when being redirected.,"Reported by webhp#1337

####Steps to reproduce:
- Go to a URL for your application without being logged in 
- Log in to Discord

####Expected result:
The login page should redirect with the full URL
####Actual result:
It only redirects to the My Applications page.
####Client settings:
NA
####System settings:
Windows 10 Pro x64 v1803 Firefox Nightly v63.0a1

15701","### verified, macos 10.12.6, chrome 67.0.3396.99 - Clayton on 2018-07-20T21:37:40.901Z


### Can reproduce.
Windows 10 Pro x64. Discord Canary 19332

ThorWolf#0001 - Bug Bot on 2018-07-20T07:55:12.209Z


### Can reproduce.
Can Repro, Windows 10 Home (1803) x64, Canary 0.0.211 Browser: Chrome 67.0.3396.99 (Stable)

DeJay#1337 - Bug Bot on 2018-07-20T04:47:49.674Z


### Can reproduce.
Google Chrome 67.0.3396.99

Beeen#0001 - Bug Bot on 2018-07-20T04:47:42.577Z


### Can reproduce.
Windows 10 Home x64 - Chrome 67.0.3396.99

mrkirby153#7840 - Bug Bot on 2018-07-20T04:47:37.494Z


### Added by Bug Bot on 2018-07-20T04:47:29.668Z","P3: Will get fixed eventually,
Low",Verified Bugs,"Long: https://trello.com/c/QcHyPf9B/5-website-bug-going-to-an-application-url-without-being-logged-in-does-not-retain-the-full-url-path-when-being-redirected
Short: https://trello.com/c/QcHyPf9B",None
2018-07-20T04:47:57.640Z,2019-04-25T22:03:47.662Z,No padding on the right side of the code block in Show Code in Rich Presence Visualizer,"Reported by 54D#1357

####Steps to reproduce:
- Go to the developer website. 
- Go to any application. 
- Go to Rich Presence. 
- Scroll down to see the Rich Presence Visualizer. 
- Click Show Code. 
- Scroll to the very right.

####Expected result:
There is right padding similar to left padding.
####Actual result:
There is no right padding. Text touches border of the code box.
####Client settings:
N/A
####System settings:
Windows 10 x64 (1803)

15703","### Can reproduce.
W10 x64 1803, Chrome 67.0.3396.99

MrWasdennnoch#0443 - Bug Bot on 2018-07-30T20:04:13.197Z


### moving to website bugs with the others - Tim on 2018-07-28T15:38:11.986Z


### verified, macos 10.12.6, chrome 67.0.3396.99 - Clayton on 2018-07-20T21:38:10.882Z


### Can reproduce.
Windows 10 Pro x64. Discord Canary 19332

ThorWolf#0001 - Bug Bot on 2018-07-20T07:55:09.221Z


### Can reproduce.
Can Repro, Windows 10 Home (1803) x64, Canary 0.0.211 Browser: Chrome 67.0.3396.99 (Stable)

DeJay#1337 - Bug Bot on 2018-07-20T04:48:15.053Z


### Can reproduce.
CR, Google Chrome 67.0.3396.99

Beeen#0001 - Bug Bot on 2018-07-20T04:48:10.034Z


### Can reproduce.
Windows 10 Pro x64 v1803 Firefox Stable v61.0.1

webhp#1337 - Bug Bot on 2018-07-20T04:48:05.064Z


### Added by Bug Bot on 2018-07-20T04:47:57.640Z","P3: Will get fixed eventually,
Low",Verified Bugs,"Long: https://trello.com/c/0LdqzJop/6-no-padding-on-the-right-side-of-the-code-block-in-show-code-in-rich-presence-visualizer
Short: https://trello.com/c/0LdqzJop",None
2018-07-20T04:51:56.266Z,2019-04-25T22:03:47.667Z,"[Website Bug] The text ""yyyy"" without brackets is shown as a link on the licenses page.","Reported by webhp#1337

####Steps to reproduce:
- Go to discordapp(dot)com/licenses 
- Scroll to the bottom 
- Observe the template under the Apache License reading ""Copyright yyyy""

####Expected result:
It should not show as a link.
####Actual result:
It shows as a link.
####Client settings:
NA
####System settings:
Windows 10 Pro x64 v1803 Firefox Nightly v63.0a1

15694","### Can reproduce.
Windows 10 Home; Google Chrome 70.0.3538.102

O.O. Gold the Dank Meme Lord#4151 - Bug Bot on 2018-11-22T03:44:32.774Z


### Can reproduce.
Windows 10 Home 64-bit v. 1803, Google Chrome 69.0.3497.100

tristanfarkas#0001 - Bug Bot on 2018-09-28T09:08:27.282Z


### verified, macos 10.12.6, chrome 67.0.3396.99 - Clayton on 2018-07-20T21:46:03.042Z


### Can reproduce.
Windows 10 Pro x64. Discord Canary 19332

ThorWolf#0001 - Bug Bot on 2018-07-20T07:54:42.629Z


### Can reproduce.
Google Chrome 67.0.3396.99

Beeen#0001 - Bug Bot on 2018-07-20T04:52:13.812Z


### Can reproduce.
CR, Windows 10 Pro. Chrome Version 67.0.3396.99 (Official Build) (64-bit)

Zacatero#0001 - Bug Bot on 2018-07-20T04:52:08.823Z


### Can reproduce.
[CR] Windows 10 x64 (1803), Chrome Official 67.0.3396.99

54D#1357 - Bug Bot on 2018-07-20T04:52:03.883Z


### webhp#1337 - https://trello-attachments.s3.amazonaws.com/5771673855f47b547f2decc3/5b516a6cc20108790a712426/e6e86d16e4d7a662c92b4878ff46bd94/c2yqOtz.png added by Bug Bot on 2018-07-20T04:51:59.053Z


### Added by Bug Bot on 2018-07-20T04:51:56.266Z","P3: Will get fixed eventually,
Low",Verified Bugs,"Long: https://trello.com/c/iA11w4x8/7-website-bug-the-text-yyyy-without-brackets-is-shown-as-a-link-on-the-licenses-page
Short: https://trello.com/c/iA11w4x8",None
2018-07-20T04:53:19.723Z,2019-04-25T22:03:47.661Z,[Website Bug] Logout dropdown box closes when clicking on it.,"Reported by webhp#1337

####Steps to reproduce:
- Open the Developer Portal 
- Click your profile icon in the top right 
- Click anywhere in the box except the Log Out button

####Expected result:
The dropdown box should remain open
####Actual result:
It closes
####Client settings:
Firefox Stable v61.01
####System settings:
Windows 10 Pro x64 v1803

15716","### verified, macos 10.12.6, chrome 67.0.3396.99 - Clayton on 2018-07-20T21:54:54.977Z


### Can reproduce.
Version 67.0.3396.99 (Build officiel) (64 bits) Windows 10 x64

</> Emmanuel#2543 - Bug Bot on 2018-07-20T19:56:49.239Z


### Can reproduce.
Windows 10 Pro x64. Discord Canary 19332

ThorWolf#0001 - Bug Bot on 2018-07-20T07:54:22.052Z


### Can reproduce.
[CR] Windows 10 x64 (1803), Chrome Official 67.0.3396.99

54D#1357 - Bug Bot on 2018-07-20T04:53:37.264Z


### Can reproduce.
Can Repro, Windows 10 Home (1803) x64, Canary 0.0.211 Browser: Chrome 67.0.3396.99 (Stable)

DeJay#1337 - Bug Bot on 2018-07-20T04:53:32.390Z


### Can reproduce.
Google Chrome 67.0.3396.99

Beeen#0001 - Bug Bot on 2018-07-20T04:53:27.268Z


### webhp#1337 - https://i.imgur.com/Qo2F2fs.gifv added by Bug Bot on 2018-07-20T04:53:22.392Z


### Added by Bug Bot on 2018-07-20T04:53:19.723Z","P3: Will get fixed eventually,
Low",Verified Bugs,"Long: https://trello.com/c/IErluGzb/8-website-bug-logout-dropdown-box-closes-when-clicking-on-it
Short: https://trello.com/c/IErluGzb",None
2018-07-20T08:59:42.042Z,2019-07-21T21:08:43.927Z,[Archived] Upload Assets is clickable even when uploaded asset is invalid.,"Reported by 54D#1357

####Steps to reproduce:
- Go to the developer website. 
- Go to any application. 
- Go to Rich Presence -> Art Assets. 
- Upload an invalid asset.

####Expected result:
You can't click on Upload Assets. Cursor turns to a blocked symbol.
####Actual result:
It lets you click on Upload Assets once. Doesn't do anything.
####Client settings:
N/A
####System settings:
Windows 10 x64 (1803)

15707","### Archived by Aeria on 2019-07-21T21:08:43.940Z


### Extension of master ticket https://trello.com/c/XsGzBWxE/

O.O. Gold the Dank Meme Lord#4151 - Bug Bot on 2019-02-26T01:09:24.408Z


### verified, macos 10.12.6, chrome 67.0.3396.99 - Clayton on 2018-07-20T21:55:51.304Z


### Can reproduce.
Windows 10 Home x64 (1803), Chrome Canary 69.0.3495.0

Mustard#2117 - Bug Bot on 2018-07-20T08:59:59.504Z


### Can reproduce.
Can Repro, Windows 10 Home (1803) x64, Canary 0.0.211 Browser: Chrome 67.0.3396.99 (Stable)

DeJay#1337 - Bug Bot on 2018-07-20T08:59:54.514Z


### Can reproduce.
Windows 10 Home x64 - Chrome 67.0.3396.99

mrkirby153#7840 - Bug Bot on 2018-07-20T08:59:49.579Z


### Added by Bug Bot on 2018-07-20T08:59:42.042Z","P3: Will get fixed eventually,
Low",Verified Bugs,"Long: https://trello.com/c/sXDYopr7/9-upload-assets-is-clickable-even-when-uploaded-asset-is-invalid
Short: https://trello.com/c/sXDYopr7",None
2018-07-20T10:58:51.695Z,2019-04-25T22:03:47.682Z,[Website Bug] Support links do not correspond to the selected language except in the top navigation bar,"Reported by webhp#1337

####Steps to reproduce:
- Go to the Discord website 
- Click on a link to the support page that is not in the top nav bar (the community guidelines page or the link in the bottom nav bar)

####Expected result:
The link corresponds to the selected language like the top nav bar does.
####Actual result:
It redirects to the English support page
####Client settings:
NA
####System settings:
Windows 10 Pro x64 v1803 Firefox Nightly v63.0a1

15697","### verified, macos 10.12.6, chrome 67.0.3396.99 - Clayton on 2018-07-20T21:56:11.982Z


### Can reproduce.
MacBook Pro 13"" (2016), macOS High Sierra 10.13.6, Safari Version 11.1.2

Pascal#0929 - Bug Bot on 2018-07-20T10:59:09.022Z


### Can reproduce.
Google Chrome 67.0.3396.99

Beeen#0001 - Bug Bot on 2018-07-20T10:59:04.068Z


### Can reproduce.
[CR] Windows 10 x64 (1803), Chrome Official 67.0.3396.99

54D#1357 - Bug Bot on 2018-07-20T10:58:59.009Z


### Added by Bug Bot on 2018-07-20T10:58:51.695Z","P3: Will get fixed eventually,
Low",Verified Bugs,"Long: https://trello.com/c/WDBOyyF5/10-website-bug-support-links-do-not-correspond-to-the-selected-language-except-in-the-top-navigation-bar
Short: https://trello.com/c/WDBOyyF5",None
